ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,time_dt,floating_at_end,floating_at_low,direction,date
3411119,9596138,2026-08-24 09:16:02,1787562962626,0,0,26011001,9596138,3,0.01,4646.93,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-24 09:16:02,-190.48000000000047,-201.18000000000032,BUY,2026-08-24
3411281,9596165,2026-08-24 09:19:12,1787563152504,0,0,26011001,9596165,3,0.01,4645.38,0.0,0.0,0.0,0.0,XAUUSD.u,STR B6,,2026-08-24 09:19:12,-188.9300000000003,-199.6300000000001,BUY,2026-08-24
3412129,9597159,2026-08-24 09:38:42,1787564322766,0,0,26011001,9597159,3,0.01,4643.83,0.0,0.0,0.0,0.0,XAUUSD.u,STR B5,,2026-08-24 09:38:42,-187.3800000000001,-198.07999999999993,BUY,2026-08-24
3505749,9699321,2026-08-25 14:48:26,1787669306158,0,0,26011001,9699321,3,0.01,4642.59,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-25 14:48:26,-186.14000000000033,-196.84000000000015,BUY,2026-08-25
3413509,9598581,2026-08-24 10:07:59,1787566079728,0,0,26011001,9598581,3,0.01,4642.28,0.0,0.0,0.0,0.0,XAUUSD.u,STR B4,,2026-08-24 10:07:59,-185.82999999999993,-196.52999999999977,BUY,2026-08-24
3413523,9598590,2026-08-24 10:08:11,1787566091586,0,0,26011001,9598590,3,0.01,4640.73,0.0,0.0,0.0,0.0,XAUUSD.u,STR B3,,2026-08-24 10:08:11,-184.27999999999975,-194.97999999999956,BUY,2026-08-24
3413607,9598614,2026-08-24 10:10:21,1787566221467,0,0,26011001,9598614,3,0.01,4639.18,0.0,0.0,0.0,0.0,XAUUSD.u,STR B2,,2026-08-24 10:10:21,-182.73000000000047,-193.4300000000003,BUY,2026-08-24
3413552,9598629,2026-08-24 10:08:59,1787566139465,0,0,26011001,9598629,3,0.01,4637.63,0.0,0.0,0.0,0.0,XAUUSD.u,STR B1,,2026-08-24 10:08:59,-181.1800000000003,-191.8800000000001,BUY,2026-08-24
3734318,11061291,2026-08-28 19:22:20,1787944940963,0,0,26011001,11061291,3,0.06,4486.59,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-28 19:22:20,-180.84000000000196,-245.04000000000084,BUY,2026-08-28
3622568,10520346,2026-08-27 05:20:36,1787808036802,0,0,26011001,10520346,3,0.01,4636.09,0.0,0.0,0.0,0.0,XAUUSD.u,STR B6,,2026-08-27 05:20:36,-179.64000000000033,-190.34000000000015,BUY,2026-08-27
