ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
9647510,1787598977,1787598977130,1787598978,1787598978386,0,4,0,2,4,26011001,9647510,0,3,0.01,0.0,4648.41,0.0,0.0,4648.42,0.0,XAUUSD.u,STR B2,
9647634,1787599046,1787599046390,1787599046,1787599046390,0,1,0,0,4,26011001,9647510,0,3,0.01,0.0,0.0,0.0,0.0,4653.89,0.0,XAUUSD.u,STR CLOSE,
9647635,1787599046,1787599046502,1787599046,1787599046502,0,1,0,0,4,26011001,9647488,0,3,0.01,0.0,0.0,0.0,0.0,4653.9,0.0,XAUUSD.u,STR CLOSE,
9647636,1787599046,1787599046616,1787599046,1787599046616,0,1,0,0,4,26011001,9647414,0,3,0.01,0.0,0.0,0.0,0.0,4653.86,0.0,XAUUSD.u,STR CLOSE,
9647637,1787599046,1787599046728,1787599046,1787599046728,0,1,0,0,4,26011001,9646148,0,3,0.01,0.0,0.0,0.0,0.0,4653.66,0.0,XAUUSD.u,STR CLOSE,
9647638,1787599046,1787599046840,1787599046,1787599046840,0,1,0,0,4,26011001,9646109,0,3,0.01,0.0,0.0,0.0,0.0,4653.6,0.0,XAUUSD.u,STR CLOSE,
9647639,1787599046,1787599046952,1787599046,1787599046952,0,1,0,0,4,26011001,9645935,0,3,0.01,0.0,0.0,0.0,0.0,4653.57,0.0,XAUUSD.u,STR CLOSE,
9647640,1787599047,1787599047064,1787599047,1787599047064,0,1,0,0,4,26011001,9645893,0,3,0.01,0.0,0.0,0.0,0.0,4653.66,0.0,XAUUSD.u,STR CLOSE,
9647641,1787599047,1787599047176,1787599047,1787599047176,0,0,0,0,4,26011001,9642160,0,3,0.01,0.0,0.0,0.0,0.0,4653.58,0.0,XAUUSD.u,STR CLOSE,
9647642,1787599047,1787599047289,1787599047,1787599047289,0,1,0,0,4,26011001,9641341,0,3,0.01,0.0,0.0,0.0,0.0,4653.57,0.0,XAUUSD.u,STR CLOSE,
9647643,1787599047,1787599047402,1787599047,1787599047402,0,1,0,0,4,26011001,9641337,0,3,0.01,0.0,0.0,0.0,0.0,4653.64,0.0,XAUUSD.u,STR CLOSE,
9647644,1787599047,1787599047514,1787599047,1787599047514,0,0,0,0,4,26011001,9641319,0,3,0.01,0.0,0.0,0.0,0.0,4653.63,0.0,XAUUSD.u,STR CLOSE,
9647645,1787599047,1787599047626,1787599047,1787599047626,0,0,0,0,4,26011001,9641316,0,3,0.01,0.0,0.0,0.0,0.0,4653.63,0.0,XAUUSD.u,STR CLOSE,
9647646,1787599049,1787599049181,1787599209,1787599209619,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4655.28,0.0,0.0,4643.23,0.0,XAUUSD.u,STR B1,
9647647,1787599049,1787599049293,1787599130,1787599130625,0,5,0,2,4,26011001,9647647,0,3,0.01,0.0,4652.18,0.0,0.0,4652.18,0.0,XAUUSD.u,STR S1,
9647648,1787599049,1787599049405,1787599209,1787599209507,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4656.83,0.0,0.0,4643.09,0.0,XAUUSD.u,STR B2,
