ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
1902831714,1788265803,1788265803336,1788265803,1788265803336,1,901018,1902831714,3,0.01,4371.28,0.0,0.0,4370.93,0.0,0.35,XAUUSD,STR S4,
1902838952,1788265792,1788265792244,1788265792,1788265792244,1,901018,1902838952,3,0.01,4372.74,0.0,0.0,4370.93,0.0,1.81,XAUUSD,STR S3,
1902859593,1788265871,1788265871875,1788265871,1788265871875,0,901018,1902859593,3,0.01,4368.94,0.0,0.0,4370.65,0.0,1.71,XAUUSD,STR B1,
1902859618,1788265986,1788265986186,1788265986,1788265986186,0,901018,1902859618,3,0.01,4370.4,0.0,0.0,4370.65,0.0,0.25,XAUUSD,STR B2,
1902861842,1788265890,1788265890951,1788265890,1788265890951,0,901018,1902861842,3,0.01,4368.94,0.0,0.0,4370.65,0.0,1.71,XAUUSD,STR B1,
1902866313,1788265894,1788265894298,1788265894,1788265894298,0,901018,1902866313,3,0.01,4368.94,0.0,0.0,4370.65,0.0,1.71,XAUUSD,STR B1,
1902867813,1788265955,1788265955962,1788265955,1788265955962,0,901018,1902867813,3,0.01,4368.94,0.0,0.0,4370.65,0.0,1.71,XAUUSD,STR B1,
1902876318,1788265968,1788265968423,1788265968,1788265968423,0,901018,1902876318,3,0.01,4368.94,0.0,0.0,4370.65,0.0,1.71,XAUUSD,STR B1,
1902887405,1788266086,1788266086249,1788266086,1788266086249,0,901018,1902887405,3,0.01,4370.4,0.0,0.0,4370.65,0.0,0.25,XAUUSD,STR B2,
1902889398,1788266027,1788266027066,1788266027,1788266027066,0,901018,1902889398,3,0.01,4368.94,0.0,0.0,4370.65,0.0,1.71,XAUUSD,STR B1,
1902894706,1788266061,1788266061254,1788266061,1788266061254,0,901018,1902894706,3,0.01,4368.94,0.0,0.0,4370.65,0.0,1.71,XAUUSD,STR B1,
