============================================================================================================
CYCLE 252  start=2026-07-28 20:34:12.155000  first_close=2026-07-29 19:42:06.984000  anchor=4024.77 step=1.3400
  positions=160  flatten_closes=11  realized=632.83
============================================================================================================
  time                     market      real      float      TOTAL  op  armed  dist_st    $/pt
  07-29 08:24:53          4041.94    117.15    -216.53     -99.38  15     37    12.81    30.0  (+21s)
  07-29 08:33:49          4043.54    117.15    -200.53     -83.38  16     36    14.01    36.0  (+536s)
  07-29 08:35:43          4042.83    121.81    -216.55     -94.74  15     35    13.48    35.0  (+114s)
  07-29 08:36:03          4043.48    146.95    -231.94     -84.99  14     35    13.96    29.0  (+20s)
  07-29 08:36:23          4043.48    153.58    -238.57     -84.99  13     35    13.96    28.0  (+20s)
  07-29 08:42:22          4041.96    160.00    -257.15     -97.15  12     35    12.83    22.0  (+359s)
  07-29 08:42:42          4041.96    160.12    -257.27     -97.15  11     35    12.83    16.0  (+20s)
  07-29 08:50:06          4041.01    160.12    -253.47     -93.35  12     36    12.12    22.0  (+444s)
  07-29 08:50:35          4042.28    160.12    -250.93     -90.81  13     35    13.07    28.0  (+29s)
  07-29 09:13:44          4045.16    177.40    -245.17     -67.77  12     34    15.22    22.0  (+1389s)
  07-29 09:14:05          4045.82    206.26    -272.71     -66.45  11     34    15.71    16.0  (+20s)
  07-29 09:24:03          4046.24    222.46    -290.59     -68.13  10     33    16.02    10.0  (+598s)
  07-29 10:13:05          4040.92    222.46    -237.39     -14.93  11     33    12.05    16.0  (+2942s)
  07-29 10:27:45          4036.83    222.46    -221.03       1.43  12     33     9.00    17.0  (+880s)
  07-29 10:50:28          4037.02    222.65    -221.79       0.86  11     33     9.14    16.0  (+1363s)
  07-29 11:08:59          4036.87    222.65    -221.19       1.46  12     33     9.03    17.0  (+1111s)
  07-29 11:29:23          4034.30    222.65    -213.48       9.17  13     34     7.11    18.0  (+1225s)
  07-29 11:31:01          4033.09    222.65    -211.06      11.59  14     34     6.21    19.0  (+98s)
  07-29 11:46:33          4035.62    222.65    -213.59       9.06  15     33     8.10    20.0  (+932s)
  07-29 11:56:59          4033.48    223.04    -213.98       9.06  14     33     6.50    19.0  (+626s)
  07-29 11:59:48          4032.88    223.04    -213.38       9.66  15     33     6.05    20.0  (+170s)
  07-29 12:16:30          4031.68    223.04    -213.38       9.66  16     33     5.16    21.0  (+1001s)
  07-29 12:42:25          4028.88    223.04    -216.18       6.86  17     34     3.07    22.0  (+1555s)
  07-29 12:43:37          4027.57    223.04    -218.80       4.24  18     34     2.09    23.0  (+73s)
  07-29 13:08:03          4026.15    223.04    -223.06      -0.02  19     34     1.03    24.0  (+1466s)
  07-29 13:15:00          4030.18    223.04    -206.94      16.10  20     33     4.04    25.0  (+417s)
  07-29 13:27:00          4031.70    225.86    -202.16      23.70  19     33     5.17    24.0  (+720s)
  07-29 13:27:20          4032.02    230.31    -205.33      24.98  18     33     5.41    23.0  (+20s)
  07-29 13:27:40          4032.02    236.18    -211.20      24.98  17     33     5.41    22.0  (+20s)
  07-29 13:35:27          4030.66    236.66    -214.40      22.26  16     33     4.40    21.0  (+467s)
  07-29 13:49:02          4034.58    239.56    -213.38      26.18  15     33     7.32    20.0  (+815s)
  07-29 13:50:58          4033.37    240.05    -213.87      26.18  14     33     6.42    19.0  (+116s)
  07-29 13:56:31          4032.82    240.05    -213.32      26.73  15     33     6.01    20.0  (+333s)
  07-29 14:09:59          4030.29    240.05    -213.32      26.73  16     33     4.12    21.0  (+808s)
  07-29 14:14:57          4027.57    240.05    -216.04      24.01  17     34     2.09    22.0  (+298s)
  07-29 14:17:22          4022.36    240.64    -227.05      13.59  16     35    -1.80    21.0  (+145s)
  07-29 14:20:42          4019.12    243.44    -239.57       3.87  15     35    -4.22    20.0  (+200s)
  07-29 14:22:45          4016.11    246.07    -254.24      -8.17  14     35    -6.46    19.0  (+122s)
  07-29 14:23:05          4017.26    249.56    -251.98      -2.42  13     35    -5.60    18.0  (+20s)
  07-29 14:23:25          4017.55    250.07    -250.75      -0.68  12     35    -5.39    17.0  (+20s)
  07-29 14:30:05          4009.91    250.07    -304.23     -54.16  13     34   -11.09    23.0  (+400s)
  07-29 14:30:27          4012.70    252.73    -304.10     -51.37  12     34    -9.01    22.0  (+22s)
  07-29 14:30:47          4013.69    255.77    -305.16     -49.39  11     34    -8.27    21.0  (+20s)
  07-29 14:31:07          4015.48    254.06    -298.08     -44.02  10     34    -6.93    20.0  (+20s)
  07-29 14:31:27          4016.43    254.06    -294.28     -40.22  11     34    -6.22    21.0  (+20s)
  07-29 14:35:08          4017.98    254.06    -289.63     -35.57  12     36    -5.07    22.0  (+222s)
  07-29 14:38:29          4019.41    254.06    -286.77     -32.71  13     36    -4.00    23.0  (+201s)
  07-29 14:40:09          4020.54    254.06    -285.64     -31.58  14     36    -3.16    24.0  (+100s)
  07-29 14:42:41          4020.50    254.10    -285.68     -31.58  13     36    -3.19    23.0  (+152s)
  07-29 14:48:36          4022.01    254.10    -284.17     -30.07  14     37    -2.06    24.0  (+355s)
  07-29 14:49:29          4020.65    254.10    -284.17     -30.07  15     36    -3.07    25.0  (+53s)
  07-29 14:52:57          4021.86    254.25    -285.53     -31.28  14     36    -2.17    24.0  (+207s)
  07-29 14:57:58          4022.07    254.25    -285.53     -31.28  15     36    -2.01    25.0  (+301s)
  07-29 15:01:15          4026.13    254.25    -289.59     -35.34  16     36     1.01    26.0  (+197s)
  07-29 15:03:00          4023.33    254.25    -289.59     -35.34  17     35    -1.07    27.0  (+105s)
  07-29 15:06:22          4018.72    257.60    -288.33     -30.73  16     35    -4.51    26.0  (+202s)
  07-29 15:06:42          4018.27    262.66    -293.39     -30.73  15     35    -4.85    25.0  (+20s)
  07-29 15:07:09          4016.72    262.66    -294.94     -32.28  16     34    -6.01    26.0  (+28s)
  07-29 15:09:20          4017.06    266.25    -298.53     -32.28  15     34    -5.75    25.0  (+130s)
  07-29 15:10:39          4018.38    267.28    -298.24     -30.96  14     34    -4.77    24.0  (+80s)
  07-29 15:13:00          4015.34    267.28    -304.32     -37.04  15     33    -7.04    25.0  (+141s)
  07-29 15:16:04          4016.96    268.30    -303.72     -35.42  14     33    -5.83    24.0  (+184s)
  07-29 15:21:29          4019.37    268.30    -298.90     -30.60  15     34    -4.03    25.0  (+325s)
  07-29 15:23:13          4022.05    268.30    -296.22     -27.92  16     35    -2.03    26.0  (+104s)
  07-29 15:24:23          4020.72    268.30    -296.22     -27.92  17     34    -3.02    27.0  (+70s)
  07-29 15:28:22          4018.00    268.30    -293.50     -25.20  18     33    -5.05    28.0  (+240s)
  07-29 15:30:09          4015.22    271.08    -290.72     -19.64  17     33    -7.13    27.0  (+107s)
  07-29 15:30:29          4012.46    277.99    -294.87     -16.88  16     33    -9.19    26.0  (+20s)
  07-29 15:30:49          4012.46    286.25    -303.13     -16.88  15     33    -9.19    25.0  (+20s)
  07-29 15:31:09          4012.46    295.84    -312.72     -16.88  14     33    -9.19    24.0  (+20s)
