kind,t,cycle,side,lvl,vol,price,open_p,close_p,profit,reason,anchor,step
close,2026-07-23T15:06:39.386000,80,S,2,0.01,,4053.275,4048.27,5.005000000000109,sl,,
close,2026-07-23T15:06:39.386000,80,S,3,0.01,,4052.065,4048.27,3.7950000000000728,sl,,
fill,2026-07-23T15:08:39.842000,80,S,8,0.01,4045.405,,,,,,
close,2026-07-23T15:09:19.061000,80,S,4,0.01,,4050.045,4046.76,3.2849999999998545,sl,,
close,2026-07-23T15:09:30.222000,80,S,5,0.01,,4049.0350000000003,4048.11,0.9250000000001819,sl,,
fill,2026-07-23T15:10:24.038000,80,S,9,0.01,4043.1850000000004,,,,,,
fill,2026-07-23T15:10:24.385000,80,S,10,0.01,4042.0750000000003,,,,,,
fill,2026-07-23T15:10:44.471000,80,S,11,0.06,4040.735,,,,,,
close,2026-07-23T15:20:25.344000,80,S,6,0.01,,4048.105,4042.2400000000002,5.864999999999782,sl,,
close,2026-07-23T15:20:25.344000,80,S,7,0.01,,4046.7650000000003,4042.2400000000002,4.525000000000091,sl,,
close,2026-07-23T15:20:25.344000,80,S,8,0.01,,4045.405,4042.2400000000002,3.1649999999999636,sl,,
order_place,2026-07-23T15:20:25.344000,80,S,5,0.01,4049.62,,,,,,
order_place,2026-07-23T15:20:31.405000,80,S,4,0.01,4050.9700000000003,,,,,,
order_place,2026-07-23T15:20:31.405000,80,S,6,0.01,4048.27,,,,,,
order_place,2026-07-23T15:20:31.405000,80,S,7,0.01,4046.92,,,,,,
order_place,2026-07-23T15:20:31.405000,80,S,8,0.01,4045.56,,,,,,
fill,2026-07-23T15:20:47.170000,80,S,4,0.01,4050.565,,,,,,
order_place,2026-07-23T15:22:01.788000,80,S,3,0.01,4052.32,,,,,,
order_place,2026-07-23T15:27:29.115000,80,S,2,0.01,4053.6800000000003,,,,,,
order_place,2026-07-23T15:28:07.072000,80,S,1,0.01,4055.03,,,,,,
fill,2026-07-23T15:30:02.624000,80,B,2,0.01,4060.105,,,,,,
fill,2026-07-23T15:30:03.577000,80,B,3,0.01,4061.7349999999997,,,,,,
fill,2026-07-23T15:30:17.745000,80,B,4,0.01,4062.745,,,,,,
close,2026-07-23T15:30:44.379000,80,B,1,0.01,,4057.805,4061.2400000000002,3.4350000000004,sl,,
fill,2026-07-23T15:32:42.450000,80,B,5,0.01,4064.055,,,,,,
fill,2026-07-23T15:32:54.122000,80,B,6,0.01,4065.515,,,,,,
fill,2026-07-23T15:33:23.900000,80,B,7,0.01,4066.4649999999997,,,,,,
close,2026-07-23T15:34:23.618000,80,B,2,0.01,,4060.105,4064.96,4.855000000000018,sl,,
close,2026-07-23T15:34:23.618000,80,B,3,0.01,,4061.7349999999997,4064.96,3.225000000000364,sl,,
close,2026-07-23T15:34:23.618000,80,B,4,0.01,,4062.745,4063.61,0.8650000000002365,sl,,
order_place,2026-07-23T15:36:12.848000,80,B,4,0.01,4061.79,,,,,,
order_place,2026-07-23T15:37:00.898000,80,B,3,0.01,4060.44,,,,,,
order_place,2026-07-23T15:38:39.910000,80,B,2,0.01,4059.08,,,,,,
order_place,2026-07-23T15:39:21.175000,80,B,1,0.01,4057.73,,,,,,
fill,2026-07-23T15:41:28.705000,80,B,1,0.01,4058.8149999999996,,,,,,
fill,2026-07-23T15:43:38.734000,80,B,3,0.01,4060.975,,,,,,
fill,2026-07-23T15:43:38.734000,80,B,2,0.01,4060.975,,,,,,
fill,2026-07-23T15:45:42.758000,80,S,1,0.01,4053.7650000000003,,,,,,
fill,2026-07-23T15:48:10.968000,80,S,2,0.01,4052.625,,,,,,
fill,2026-07-23T15:48:27.405000,80,S,3,0.01,4051.215,,,,,,
close,2026-07-23T15:49:59.246000,80,S,1,0.01,,4053.7650000000003,4052.78,0.9850000000001272,sl,,
order_place,2026-07-23T15:54:13.508000,80,S,1,0.01,4055.03,,,,,,
fill,2026-07-23T15:57:17.730000,80,S,1,0.01,4049.8450000000003,,,,,,
fill,2026-07-23T15:57:18.342000,80,S,5,0.01,4049.425,,,,,,
fill,2026-07-23T15:57:55.048000,80,S,6,0.01,4047.835,,,,,,
fill,2026-07-23T15:57:56.376000,80,S,7,0.01,4046.7050000000004,,,,,,
fill,2026-07-23T15:58:39.259000,80,S,8,0.01,4045.355,,,,,,
close,2026-07-23T16:00:01.546000,80,S,4,0.01,,4050.565,4044.1800000000003,6.3849999999997635,sl,,
close,2026-07-23T16:00:01.546000,80,S,2,0.01,,4052.625,4044.1800000000003,8.444999999999709,sl,,
close,2026-07-23T16:00:01.546000,80,S,3,0.01,,4051.215,4044.1800000000003,7.034999999999855,sl,,
close,2026-07-23T16:00:01.546000,80,S,1,0.01,,4049.8450000000003,4044.1800000000003,5.664999999999964,sl,,
close,2026-07-23T16:00:01.546000,80,S,5,0.01,,4049.425,4044.1800000000003,5.244999999999891,sl,,
close,2026-07-23T16:00:01.546000,80,S,6,0.01,,4047.835,4044.1800000000003,3.6549999999997453,sl,,
close,2026-07-23T16:00:07.266000,80,S,7,0.01,,4046.7050000000004,4045.53,1.175000000000182,sl,,
order_place,2026-07-23T16:00:55.643000,80,S,5,0.01,4049.62,,,,,,
order_place,2026-07-23T16:00:55.643000,80,S,6,0.01,4048.27,,,,,,
order_place,2026-07-23T16:00:55.643000,80,S,7,0.01,4046.92,,,,,,
fill,2026-07-23T16:01:07.257000,80,S,5,0.01,4047.855,,,,,,
fill,2026-07-23T16:01:07.257000,80,S,6,0.01,4047.855,,,,,,
fill,2026-07-23T16:02:30.921000,80,S,7,0.01,4046.695,,,,,,
close,2026-07-23T16:09:44.351000,80,S,5,0.01,,4047.855,4042.73,5.125,sl,,
close,2026-07-23T16:09:44.351000,80,S,6,0.01,,4047.855,4042.73,5.125,sl,,
close,2026-07-23T16:09:44.351000,80,S,7,0.01,,4046.695,4042.73,3.9650000000001455,sl,,
close,2026-07-23T16:10:10.699000,80,S,8,0.01,,4045.355,4044.08,1.275000000000091,sl,,
order_place,2026-07-23T16:13:22.475000,80,S,8,0.01,4045.56,,,,,,
order_place,2026-07-23T16:14:44.698000,80,S,7,0.01,4046.92,,,,,,
fill,2026-07-23T16:19:24.595000,80,S,8,0.01,4043.9950000000003,,,,,,
fill,2026-07-23T16:19:24.595000,80,S,7,0.01,4043.9950000000003,,,,,,
order_place,2026-07-23T16:24:55.216000,80,S,4,0.01,4050.9700000000003,,,,,,
order_place,2026-07-23T16:24:55.216000,80,S,5,0.01,4049.62,,,,,,
order_place,2026-07-23T16:24:55.216000,80,S,6,0.01,4048.27,,,,,,
order_place,2026-07-23T16:25:31.571000,80,S,2,0.01,4053.6800000000003,,,,,,
order_place,2026-07-23T16:25:31.571000,80,S,3,0.01,4052.32,,,,,,
fill,2026-07-23T16:27:15.471000,80,S,2,0.01,4053.4950000000003,,,,,,
order_place,2026-07-23T16:29:41.790000,80,S,1,0.01,4055.03,,,,,,
fill,2026-07-23T16:30:37.218000,80,S,1,0.01,4054.735,,,,,,
fill,2026-07-23T16:48:23.853000,80,B,4,0.01,4061.805,,,,,,
close,2026-07-23T16:49:32.706000,80,B,1,0.01,,4058.8149999999996,4058.9500000000003,0.13500000000067303,sl,,
order_place,2026-07-23T17:05:44.352000,80,B,1,0.01,4057.73,,,,,,
fill,2026-07-23T17:10:49.718000,80,S,4,0.01,4050.795,,,,,,
fill,2026-07-23T17:10:49.718000,80,S,3,0.01,4050.795,,,,,,
close,2026-07-23T17:13:21.550000,80,S,1,0.01,,4054.735,4053.65,1.0850000000000364,sl,,
order_place,2026-07-23T17:18:01.166000,80,S,1,0.01,4055.03,,,,,,
fill,2026-07-23T17:18:39.820000,80,S,1,0.01,4053.755,,,,,,
fill,2026-07-23T17:22:48.944000,80,S,5,0.01,4047.7450000000003,,,,,,
fill,2026-07-23T17:22:48.944000,80,S,6,0.01,4047.7450000000003,,,,,,
close,2026-07-23T17:25:01.999000,80,S,2,0.01,,4053.4950000000003,4047.94,5.555000000000291,sl,,
close,2026-07-23T17:25:01.999000,80,S,4,0.01,,4050.795,4047.94,2.855000000000018,sl,,
close,2026-07-23T17:25:01.999000,80,S,3,0.01,,4050.795,4047.94,2.855000000000018,sl,,
close,2026-07-23T17:25:01.999000,80,S,1,0.01,,4053.755,4047.94,5.815000000000055,sl,,
close,2026-07-23T17:36:36.802000,80,S,5,0.01,,4047.7450000000003,4046.75,0.9950000000003456,sl,,
close,2026-07-23T17:36:36.802000,80,S,6,0.01,,4047.7450000000003,4046.75,0.9950000000003456,sl,,
order_place,2026-07-23T19:02:12.870000,80,S,4,0.01,4050.9700000000003,,,,,,
