Open Time,Order,Symbol,Type,Volume,Price,S / L,T / P,Market Price,State,None,Comment,None,None,None,None
2026.07.30 17:12:12.934,20961501,XAUUSD,buy stop,0.06 / 0,4113.39,,,4094.43,placed,,STR B19,,,,
2026.07.30 17:12:13.034,20961502,XAUUSD,sell stop,0.06 / 0,4061.71,,,4094.15,placed,,STR S19,,,,
2026.07.30 17:12:13.135,20961503,XAUUSD,buy stop,0.06 / 0,4114.75,,,4094.43,placed,,STR B20,,,,
2026.07.30 17:12:13.235,20961504,XAUUSD,sell stop,0.06 / 0,4060.35,,,4094.15,placed,,STR S20,,,,
2026.07.30 17:12:13.335,20961505,XAUUSD,buy stop,0.15 / 0,4116.11,,,4094.43,placed,,STR B21,,,,
2026.07.30 17:12:13.435,20961506,XAUUSD,sell stop,0.15 / 0,4058.99,,,4094.15,placed,,STR S21,,,,
2026.07.30 17:12:13.535,20961507,XAUUSD,buy stop,0.15 / 0,4117.47,,,4094.43,placed,,STR B22,,,,
2026.07.30 17:12:13.636,20961508,XAUUSD,sell stop,0.15 / 0,4057.63,,,4094.15,placed,,STR S22,,,,
2026.07.30 17:12:13.736,20961509,XAUUSD,buy stop,0.15 / 0,4118.83,,,4094.43,placed,,STR B23,,,,
2026.07.30 17:12:13.838,20961510,XAUUSD,sell stop,0.15 / 0,4056.27,,,4094.15,placed,,STR S23,,,,
2026.07.30 17:12:13.938,20961511,XAUUSD,buy stop,0.15 / 0,4120.19,,,4094.43,placed,,STR B24,,,,
2026.07.30 17:12:14.037,20961512,XAUUSD,sell stop,0.15 / 0,4054.91,,,4094.15,placed,,STR S24,,,,
2026.07.30 17:12:14.136,20961513,XAUUSD,buy stop,0.15 / 0,4121.55,,,4094.43,placed,,STR B25,,,,
2026.07.30 17:12:14.238,20961514,XAUUSD,sell stop,0.15 / 0,4053.55,,,4094.15,placed,,STR S25,,,,
2026.07.30 17:12:14.339,20961515,XAUUSD,buy stop,0.15 / 0,4122.91,,,4094.43,placed,,STR B26,,,,
2026.07.30 17:12:14.439,20961516,XAUUSD,sell stop,0.15 / 0,4052.19,,,4094.15,placed,,STR S26,,,,
2026.07.30 17:12:14.538,20961517,XAUUSD,buy stop,0.15 / 0,4124.27,,,4094.43,placed,,STR B27,,,,
2026.07.30 17:12:14.638,20961518,XAUUSD,sell stop,0.15 / 0,4050.83,,,4094.15,placed,,STR S27,,,,
2026.07.30 17:12:14.739,20961519,XAUUSD,buy stop,0.15 / 0,4125.63,,,4094.43,placed,,STR B28,,,,
2026.07.30 17:12:14.838,20961520,XAUUSD,sell stop,0.15 / 0,4049.47,,,4094.15,placed,,STR S28,,,,
2026.07.30 17:12:14.939,20961521,XAUUSD,buy stop,0.15 / 0,4126.99,,,4094.43,placed,,STR B29,,,,
2026.07.30 17:12:15.038,20961522,XAUUSD,sell stop,0.15 / 0,4048.11,,,4094.15,placed,,STR S29,,,,
2026.07.30 17:12:15.138,20961523,XAUUSD,buy stop,0.15 / 0,4128.35,,,4094.43,placed,,STR B30,,,,
2026.07.30 17:12:15.239,20961524,XAUUSD,sell stop,0.15 / 0,4046.75,,,4094.15,placed,,STR S30,,,,
2026.07.30 17:15:31.458,20961575,XAUUSD,sell stop,0.01 / 0,4086.19,,,4094.15,placed,,STR S1,,,,
Balance:,,,19673.02,,,Free Margin:,,,19641.26,,,,,,
Credit Facility:,,,0.0,,,Margin:,,,8.19,,,,,,
Floating P/L:,,,-23.57,,,Margin Level:,,,2399.200244,,,,,,
Equity:,,,19649.45,,,,,,,,,,,,
